    56/299     11.9G   0.03928   0.03402   0.01626   0.08956       168       640    0.7091    0.6623    0.7139    0.4332     0.034   0.01973  0.008462
    57/299     11.9G    0.0392   0.03458   0.01598   0.08976       182       640    0.6939    0.6771    0.7145    0.4346   0.03393   0.01971  0.008431
    58/299     11.9G   0.03897   0.03401   0.01584   0.08882       191       640    0.7027    0.6741    0.7159     0.436   0.03387   0.01968  0.008394
    59/299     11.9G   0.03901   0.03414   0.01585     0.089       222       640    0.7057    0.6767    0.7174    0.4373   0.03382   0.01967   0.00836
    60/299     11.9G   0.03891   0.03399   0.01562   0.08851       191       640    0.7107    0.6736    0.7178    0.4383   0.03378   0.01966  0.008335
    61/299     11.9G   0.03894    0.0337   0.01564   0.08828       217       640    0.7061    0.6785    0.7183    0.4393   0.03374   0.01965  0.008303
    62/299     11.9G   0.03898   0.03413   0.01578   0.08888       210       640    0.7144    0.6728     0.719    0.4407    0.0337   0.01964   0.00828
    63/299     11.9G   0.03865   0.03407   0.01543   0.08815       196       640    0.7055    0.6812    0.7207    0.4417   0.03366   0.01963  0.008257
    64/299     11.9G   0.03833   0.03382   0.01525    0.0874       202       640    0.7135    0.6756    0.7216    0.4426   0.03362   0.01961  0.008231
    65/299     11.9G   0.03869   0.03393   0.01515   0.08777       196       640    0.7081    0.6814    0.7223    0.4434   0.03357    0.0196  0.008197
    66/299     11.9G   0.03848   0.03387   0.01546   0.08781       219       640     0.715    0.6774    0.7231    0.4443   0.03353   0.01959  0.008143
    67/299     11.9G   0.03824   0.03349   0.01503   0.08676       235       640    0.7252     0.669    0.7246    0.4451    0.0335   0.01958  0.008114
    68/299     11.9G   0.03801    0.0336   0.01467   0.08628       203       640    0.7275    0.6693    0.7256    0.4464   0.03346   0.01957  0.008078
    69/299     11.9G   0.03853   0.03351   0.01484   0.08688       186       640     0.717    0.6826    0.7261     0.447   0.03343   0.01955  0.008042
    70/299     11.9G   0.03793   0.03345   0.01466   0.08603       229       640    0.7199    0.6818    0.7271     0.448   0.03339   0.01953  0.008008
    71/299     11.9G   0.03797   0.03394   0.01453   0.08644       219       640    0.7171     0.685    0.7276    0.4491   0.03336   0.01952  0.007986
    72/299     11.9G   0.03801   0.03368   0.01431     0.086       215       640    0.7108    0.6907    0.7284    0.4495   0.03333    0.0195  0.007968
    73/299     11.9G    0.0379   0.03339   0.01452   0.08581       216       640    0.7129    0.6902    0.7295    0.4501    0.0333   0.01949  0.007948
    74/299     11.9G   0.03784   0.03346   0.01453   0.08582       174       640    0.7235    0.6814    0.7303    0.4506   0.03327   0.01947  0.007928
    75/299     11.9G   0.03785   0.03329   0.01443   0.08557       199       640    0.7141    0.6898    0.7308    0.4514   0.03325   0.01946   0.00791
    76/299     11.9G   0.03765   0.03312   0.01389   0.08465       195       640    0.7186    0.6874    0.7321    0.4523   0.03322   0.01944  0.007884
    77/299     11.9G   0.03738   0.03309   0.01387   0.08433       209       640    0.7242    0.6829    0.7325    0.4533   0.03319   0.01943  0.007856
    78/299     11.9G   0.03761    0.0329   0.01411   0.08462       192       640    0.7167    0.6925    0.7335    0.4543   0.03316   0.01941  0.007833
    79/299     11.9G   0.03762   0.03324   0.01432   0.08517       202       640      0.72    0.6889    0.7341    0.4546   0.03314    0.0194  0.007817
    80/299     11.9G   0.03754   0.03334   0.01394   0.08482       212       640    0.7149    0.6938    0.7348    0.4552   0.03311   0.01939  0.007803
    81/299     11.9G   0.03728     0.033   0.01359   0.08387       196       640     0.718    0.6918    0.7353    0.4554   0.03309   0.01937  0.007787
    82/299     11.9G   0.03717   0.03283   0.01374   0.08374       208       640    0.7195     0.691    0.7358    0.4554   0.03307   0.01935   0.00777
    83/299     11.9G   0.03731   0.03294   0.01379   0.08404       190       640    0.7213    0.6897    0.7367    0.4566   0.03305   0.01933  0.007752
    84/299     11.9G   0.03729   0.03266   0.01411   0.08406       186       640     0.717    0.6937    0.7375    0.4577   0.03303   0.01932   0.00773
    85/299     11.9G   0.03694   0.03287   0.01383   0.08363       218       640    0.7369    0.6779     0.738    0.4578   0.03301    0.0193  0.007714
    86/299     11.9G   0.03706   0.03275   0.01378   0.08359       223       640    0.7319    0.6825    0.7385    0.4585   0.03299   0.01928  0.007701
    87/299     11.9G   0.03719   0.03283   0.01356   0.08358       218       640    0.7232    0.6907    0.7389    0.4585   0.03297   0.01928  0.007687
    88/299     11.9G   0.03696   0.03302   0.01354   0.08353       197       640    0.7195    0.6948    0.7392    0.4594   0.03295   0.01926  0.007669
    89/299     11.9G   0.03706   0.03265   0.01348   0.08318       200       640    0.7275    0.6883    0.7402    0.4593   0.03293   0.01925  0.007651
    90/299     11.9G   0.03695   0.03292   0.01362   0.08349       221       640    0.7173    0.6981    0.7406    0.4601   0.03291   0.01923  0.007633
    91/299     11.9G   0.03685   0.03266   0.01354   0.08304       206       640    0.7186     0.699    0.7414    0.4609   0.03289   0.01922  0.007615
    92/299     11.9G   0.03661   0.03245   0.01344    0.0825       208       640    0.7269    0.6926    0.7415    0.4615   0.03287    0.0192  0.007603
    93/299     11.9G   0.03655    0.0324   0.01298   0.08193       173       640    0.7201    0.6986     0.742    0.4625   0.03285   0.01919  0.007591
    94/299     11.9G   0.03651    0.0325   0.01312   0.08213       183       640    0.7237    0.6966    0.7422     0.463   0.03283   0.01917  0.007578
    95/299     11.9G   0.03658   0.03203   0.01302   0.08163       214       640    0.7247    0.6969    0.7429    0.4638   0.03282   0.01916  0.007561
    96/299     11.9G   0.03668   0.03275   0.01291   0.08234       221       640    0.7293    0.6949    0.7438    0.4643    0.0328   0.01914  0.007552
    97/299     11.9G   0.03629   0.03211   0.01291   0.08131       179       640    0.7294    0.6962    0.7444    0.4648   0.03279   0.01913  0.007542
    98/299     11.9G   0.03642   0.03253   0.01309   0.08204       213       640    0.7329    0.6942     0.745    0.4657   0.03277   0.01911  0.007525
    99/299     11.9G   0.03637   0.03243   0.01257   0.08137       171       640    0.7332    0.6949    0.7454    0.4661   0.03275    0.0191  0.007513
   100/299     11.9G   0.03619   0.03247   0.01233   0.08099       215       640    0.7338    0.6953     0.746    0.4665   0.03274   0.01909  0.007501
   101/299     11.9G   0.03623   0.03232   0.01276   0.08131       192       640    0.7181    0.7097    0.7462    0.4672   0.03272   0.01907  0.007491
   102/299     11.9G   0.03616   0.03214   0.01266   0.08096       177       640    0.7196     0.709    0.7463    0.4679    0.0327   0.01906   0.00748
   103/299     11.9G   0.03586   0.03177   0.01254   0.08017       210       640    0.7293     0.703    0.7468    0.4688   0.03269   0.01904  0.007464
   104/299     11.9G   0.03609   0.03194   0.01235   0.08039       200       640    0.7303    0.7023    0.7474    0.4695   0.03267   0.01903  0.007451
   105/299     11.9G   0.03595   0.03203   0.01261   0.08058       198       640    0.7305    0.7018    0.7479      0.47   0.03265   0.01902   0.00744
   106/299     11.9G   0.03594   0.03194   0.01245   0.08033       187       640     0.745    0.6902    0.7483    0.4705   0.03264   0.01901  0.007427
