    63/299     11.9G    0.0393   0.03397   0.01536   0.08863       196       640    0.7083    0.6764      0.72    0.4387   0.03418   0.01962   0.00819
    64/299     11.9G    0.0389   0.03365    0.0152   0.08776       202       640    0.7063    0.6793    0.7212    0.4403   0.03415    0.0196  0.008155
    65/299     11.9G   0.03942   0.03393   0.01553   0.08888       196       640     0.711    0.6767    0.7223    0.4418   0.03412   0.01958  0.008108
    66/299     11.9G   0.03925   0.03382   0.01534    0.0884       219       640    0.7087    0.6814    0.7231    0.4427   0.03408   0.01957  0.008062
    67/299     11.9G    0.0389   0.03342   0.01516   0.08748       235       640    0.7109    0.6818    0.7235    0.4431   0.03405   0.01956  0.008045
    68/299     11.9G   0.03873   0.03358   0.01495   0.08725       203       640    0.7187    0.6778    0.7243    0.4436   0.03404   0.01954  0.008031
    69/299     11.9G   0.03904   0.03337   0.01472   0.08714       186       640    0.7172    0.6804    0.7247     0.445   0.03401   0.01953  0.008021
    70/299     11.9G   0.03866   0.03335   0.01479   0.08679       229       640    0.7125    0.6858    0.7255    0.4453   0.03398   0.01952  0.008003
    71/299     11.9G    0.0386   0.03387   0.01459   0.08706       219       640    0.7254    0.6767    0.7264    0.4463   0.03396    0.0195  0.007988
    72/299     11.9G   0.03864   0.03355   0.01449   0.08667       215       640    0.7154    0.6859    0.7274     0.447   0.03393   0.01948  0.007977
    73/299     11.9G   0.03852   0.03327   0.01458   0.08637       216       640    0.7163    0.6858    0.7276    0.4476    0.0339   0.01947   0.00796
    74/299     11.9G   0.03842   0.03334   0.01437   0.08613       174       640    0.7148    0.6875    0.7284    0.4487   0.03388   0.01945  0.007943
    75/299     11.9G   0.03849   0.03321   0.01485   0.08655       199       640    0.7239    0.6813    0.7297    0.4493   0.03385   0.01944  0.007929
    76/299     11.9G    0.0383   0.03311   0.01416   0.08557       195       640    0.7073    0.6964    0.7303    0.4497   0.03383   0.01942  0.007909
    77/299     11.9G   0.03824   0.03315   0.01415   0.08553       209       640     0.706    0.6988    0.7308    0.4501    0.0338    0.0194  0.007887
    78/299     11.9G   0.03833   0.03305   0.01469   0.08608       192       640    0.7068    0.6973    0.7312    0.4508   0.03377   0.01939  0.007877
    79/299     11.9G   0.03821    0.0332   0.01442   0.08582       202       640    0.7061    0.6981    0.7321    0.4514   0.03375   0.01937  0.007858
    80/299     11.9G   0.03823   0.03322    0.0139   0.08535       212       640    0.6937    0.7107    0.7324    0.4521   0.03373   0.01936  0.007833
    81/299     11.9G   0.03799   0.03294   0.01385   0.08478       196       640    0.7037    0.7019    0.7333    0.4527   0.03371   0.01934  0.007814
    82/299     11.9G   0.03784   0.03293   0.01419   0.08495       208       640    0.7022    0.7055     0.734    0.4528   0.03369   0.01933  0.007794
    83/299     11.9G   0.03795   0.03289   0.01375    0.0846       190       640    0.7036    0.7051    0.7341    0.4531   0.03367   0.01931   0.00778
    84/299     11.9G   0.03786   0.03247   0.01379   0.08412       186       640    0.7033    0.7064    0.7347    0.4539   0.03365    0.0193  0.007765
    85/299     11.9G   0.03743   0.03262   0.01355    0.0836       218       640    0.7023     0.708    0.7352    0.4545   0.03363   0.01929  0.007752
